Extraction started: 2026-06-19T10:01:06-04:00
EXTRACT super.img_sparsechunk.40 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.40
EXTRACT super.img_sparsechunk.46 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.46
EXTRACT super.img_sparsechunk.45 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.45
EXTRACT super.img_sparsechunk.44 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.44
EXTRACT super.img_sparsechunk.42 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.42
EXTRACT super.img_sparsechunk.8 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.8
EXTRACT super.img_sparsechunk.9 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.9
EXTRACT regulatory_info_default.png -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\regulatory_info_default.png
EXTRACT slcf_mediatek_default_v1.0.atc -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\slcf_mediatek_default_v1.0.atc
EXTRACT super.img_sparsechunk.32 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.32
EXTRACT super.img_sparsechunk.53 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.53
EXTRACT super.img_sparsechunk.0 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.0
EXTRACT flashfile.xml -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\flashfile.xml
EXTRACT efuse.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\efuse.img
EXTRACT super.img_sparsechunk.61 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.61
EXTRACT vendor_boot.img -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\vendor_boot.img
EXTRACT super.img_sparsechunk.19 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.19
EXTRACT super.img_sparsechunk.49 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.49
EXTRACT super.img_sparsechunk.26 -> C:\Motorola-Activation\device\motorola\gnevan\stock\extracted\B3B86713E066002C\super.img_sparsechunk.26
