category,fixture_index,fixture_name,status,error_detail
integer,0,empty_list_returns_empty,PASS,
integer,1,energy_below_tau_restrict_dies_before_pressure,PASS,
integer,2,duplicate_live_position_contact_death,PASS,
integer,3,adjacent_live_nodes_sense_and_pressure,PASS,
integer,4,integer_gradient_successful_extend,PASS,
integer,5,fallback_extend_with_seeded_rng,PASS,
integer,6,blocked_fallback_target_pays_sense_and_conflict_pressure,PASS,
integer,7,contested_unblocked_fallback_target_high_energy_wins,PASS,
integer,8,bifurcation_successful_split_from_fallback_extend,PASS,
integer,9,bifurcation_pressure_below_threshold_moves_normally,PASS,
integer,10,bifurcation_energy_threshold_must_be_strictly_greater,PASS,
integer,11,bifurcation_child_position_blocked_by_frozen_occupancy,PASS,
integer,12,bifurcation_child_position_outside_boundary_moves_normally,PASS,
integer,13,bifurcation_reserved_child_position_blocks_later_split,PASS,
integer,14,bonding_adjacent_pair_forms_after_pressure_and_equalizes_energy,PASS,
integer,15,bonding_strict_rejects_distance_equal_to_threshold,PASS,
integer,16,bonding_non_strict_allows_distance_equal_to_threshold,PASS,
integer,17,bonding_max_live_degree_blocks_extra_pairs,PASS,
integer,18,bonding_historical_dead_bonds_do_not_count_against_live_capacity,PASS,
integer,19,bonding_collapse_positions_keeps_bonded_duplicate_live_nodes_alive,PASS,
integer,20,deficit_mode_can_reverse_gradient_direction,PASS,
integer,21,deficit_mode_is_zero_when_both_nodes_at_or_above_E0,PASS,
integer,22,poc_scream_low_energy_neighbor_uses_suffering_strength,PASS,
integer,23,poc_scream_disables_bifurcation_and_extends_normally,PASS,
integer,24,validation_rejects_deficit_and_poc_scream_together,PASS,
cluster_initialization,0,cluster_seed_3_initialization_summary,PASS,
cluster_initialization,1,cluster_seed_11_initialization_summary,PASS,
cluster_metrics,0,cluster_metrics_empty_state,PASS,
cluster_metrics,1,cluster_metrics_connected_success_low_gini,PASS,
cluster_metrics,2,cluster_metrics_fragmented_high_gini_far_resource,PASS,
cluster_action,0,cluster_action_policy_seek_moves_toward_resource,PASS,
cluster_action,1,cluster_action_policy_rest_adds_rest_gain,PASS,
cluster_action,2,cluster_action_redistribute_transfers_energy_over_live_bond,PASS,
cluster_action,3,cluster_action_policy_repair_fragmented_adds_first_valid_bond,PASS,
cluster_action,4,cluster_resource_absorption_shares_integer_energy,PASS,
cluster_damage,0,cluster_damage_loses_energy_and_breaks_seeded_bonds,PASS,
cluster_run,0,cluster_seed_3_steps_0_exact_result,PASS,
cluster_run,1,cluster_seed_3_steps_1_exact_result,PASS,
cluster_run,2,cluster_seed_3_steps_35_damage_gate_exact_result,PASS,
cluster_run,3,cluster_seed_3_steps_140_exact_result,PASS,
