original_filename,copied_filename,sanitized_source_label,copied_relative_path,size_bytes,created_time,modified_time,sha256,detected_format,project_category,apparent_version,authority_classification,duplicate_group,family_group,notes
CODEX PROMPT — BUILD THE CANONICAL CNTM - NATURAL MATH LIBRARY.docx,CODEX PROMPT _ BUILD THE CANONICAL CNTM - NATURAL MATH LIBRARY.docx,downloads_natural_math/CODEX PROMPT — BUILD THE CANONICAL CNTM - NATURAL MATH LIBRARY.docx,00_GOVERNANCE/CODEX PROMPT _ BUILD THE CANONICAL CNTM - NATURAL MATH LIBRARY.docx,19372,2026-06-15T19:44:01.397233+00:00,2026-06-15T19:44:02.439232+00:00,36e98ec0c2daeb3dc0402e3641dec3579a6b4473ca5f24891ec314808187e987,docx,00_GOVERNANCE,,OPERATOR_CANON,,codex prompt build the canonical cntm natural math library,Current library-construction prompt.
Codex Master Build Prompt.docx,Codex Master Build Prompt.docx,downloads_natural_math/Codex Master Build Prompt.docx,00_GOVERNANCE/Codex Master Build Prompt.docx,17312,2026-06-15T19:44:18.884906+00:00,2026-06-15T19:44:19.398494+00:00,e8a063c9c42f54d5b3f142d4c9567f3a3cff7a53f429ccf7490f5d709fdff03b,docx,00_GOVERNANCE,,THEORY_CONTEXT,,codex master build prompt,Related build-control prompt.
Synaptient_Cognitive_Basin_Team_Kernel_v0.6.md,Synaptient_Cognitive_Basin_Team_Kernel_v0.6.md,cognitive_basin/Synaptient_Cognitive_Basin_Team_Kernel_v0.6.md,00_GOVERNANCE/Synaptient_Cognitive_Basin_Team_Kernel_v0.6.md,13921,2026-06-12T23:51:54.337878+00:00,2026-06-12T23:51:54.428881+00:00,129d4f0d58781d507163beacecb2945973a7d94c50123fc186a6f90e01afcb91,md,00_GOVERNANCE,v0.6,CURRENT_SPECIFICATION,,synaptient cognitive basin team kernel,Latest located team kernel.
Codex_Task_Cognitive_Basin_Core_v0_1_Minimal_Runtime.md,Codex_Task_Cognitive_Basin_Core_v0_1_Minimal_Runtime.md,cognitive_basin/Codex_Task_Cognitive_Basin_Core_v0_1_Minimal_Runtime.md,00_GOVERNANCE/Codex_Task_Cognitive_Basin_Core_v0_1_Minimal_Runtime.md,8924,2026-06-09T21:17:34.175255+00:00,2026-06-09T21:17:34.368254+00:00,cb0f6f1ce0ce880256f45196a2fe3a95731b872e0f65bdd6fbbf87f71f351e66,md,00_GOVERNANCE,,CURRENT_SPECIFICATION,,codex task cognitive basin core minimal runtime,Runtime build directive.
"NATURAL MATH, Constructive Framework, v3.8 (scalable).docx",NATURAL MATH_ Constructive Framework_ v3.8 _scalable_.docx,"downloads_natural_math/NATURAL MATH, Constructive Framework, v3.8 (scalable).docx",01_NATURAL_MATH_CORE/NATURAL MATH_ Constructive Framework_ v3.8 _scalable_.docx,34222,2026-06-12T20:50:22.842570+00:00,2026-06-12T20:50:23.301283+00:00,5d24aff4992ec0b76fcef24c458f44718ca16e46693cc753294dc469df3331e3,docx,01_NATURAL_MATH_CORE,v3.8,CURRENT_SPECIFICATION,,natural math constructive framework scalable,Latest located Natural Math spec draft.
Natural-Math-v3.8-cleaned.txt,Natural-Math-v3.8-cleaned.txt,downloads_natural_math/Natural-Math-v3.8-cleaned.txt,01_NATURAL_MATH_CORE/Natural-Math-v3.8-cleaned.txt,31735,2026-06-13T21:44:39.865738+00:00,2026-06-13T21:44:40.057291+00:00,342f1ee4446cbdb2aa2fe6af79cea26a1ea985d834a643cf69de0fc2943f89a1,txt,01_NATURAL_MATH_CORE,v3.8,CURRENT_SPECIFICATION,,natural math,Text extract of v3.8.
Natural_Math_v3.8.py,Natural_Math_v3.8.py,downloads_natural_math/Natural_Math_v3.8.py,01_NATURAL_MATH_CORE/Natural_Math_v3.8.py,25558,2026-06-10T15:33:07.502961+00:00,2026-06-10T15:33:13.495755+00:00,cc68d27302cf853f5dec68eac6f8ba2329043773ad4c09915cc617e8a03acb7b,py,01_NATURAL_MATH_CORE,v3.8,REFERENCE_IMPLEMENTATION,,natural math,Natural Math v3.8 implementation candidate.
Natural Math Version 2.4 — Copilot.docx,Natural Math Version 2.4 _ Copilot.docx,downloads_natural_math/Natural Math Version 2.4 — Copilot.docx,01_NATURAL_MATH_CORE/Natural Math Version 2.4 _ Copilot.docx,356516,2026-06-08T06:33:16.797511+00:00,2026-06-08T06:43:47.464742+00:00,27ea239c1f2ebef8b47f320160ef4b0cc396409f6ef76055fb5734c409a699b2,docx,01_NATURAL_MATH_CORE,,PUBLICATION_DRAFT,exact-27ea239c1f2e,natural math version copilot,Later editorialized specification candidate.
Natural Math Version 2.3 — Final.docx,Natural Math Version 2.3 _ Final.docx,downloads_natural_math/Natural Math Version 2.3 — Final.docx,01_NATURAL_MATH_CORE/Natural Math Version 2.3 _ Final.docx,45867,2026-06-08T03:51:24.791537+00:00,2026-06-08T03:51:25.348881+00:00,226c584a52b7244cd6ef88e80487cffdc06022ba504c1200803b80903571dae2,docx,01_NATURAL_MATH_CORE,,PUBLICATION_DRAFT,,natural math version final,Earlier public-facing specification.
Natural Math Version 2.3 — Final (implementation-aligned).docx,Natural Math Version 2.3 _ Final _implementation-aligned_.docx,downloads_natural_math/Natural Math Version 2.3 — Final (implementation-aligned).docx,01_NATURAL_MATH_CORE/Natural Math Version 2.3 _ Final _implementation-aligned_.docx,37251,2026-06-08T06:11:29.664310+00:00,2026-06-08T06:13:28.541890+00:00,f89c887f845b3706382b843f7e5abb4d26d66335f80207cb2f02def6373dac40,docx,01_NATURAL_MATH_CORE,,PUBLICATION_DRAFT,,natural math version final implementation aligned,Implementation-aligned copy.
